Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,03/01/23,2.77,3.35,1.98,2.57,1.78,2.2,1.62,0.98,1.25,1.33,1.38,1.38,2.48,2.93,3.82,2.78,1.98,2.63,2.88,5.88,0.0,67.2,552.08,48.0
Month,Student,Active,02/01/23,5.47,5.43,3.55,3.2,4.38,1.52,2.35,2.05,1.7,2.32,1.38,1.0,1.23,1.27,1.23,1.42,1.67,1.53,1.43,1.0,0.0,86.95,347.43,45.13
Month,Student,Active,01/01/23,1.38,0.67,0.48,2.02,0.38,0.32,0.42,0.4,0.5,0.58,0.35,0.42,0.17,0.23,0.53,0.28,0.13,0.27,0.17,0.03,0.0,21.08,70.22,9.73
Month,Student,Active,12/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,11/01/22,3.82,2.27,1.0,1.07,0.87,1.97,0.52,0.3,0.28,0.25,0.2,0.55,0.5,0.93,1.17,1.47,2.35,2.65,5.97,2.63,0.0,32.8,365.83,30.75
Month,Student,Active,10/01/22,4.4,2.1,1.35,1.43,2.17,1.37,0.72,0.58,0.22,0.72,0.67,0.45,0.87,0.82,1.22,1.13,0.85,1.95,2.13,1.67,0.0,37.78,251.45,26.8
Month,Student,Active,09/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0
Month,Student,All,03/01/23,2.4,3.65,1.47,3.08,1.35,3.02,1.65,1.07,1.12,1.4,1.42,1.07,1.87,2.58,3.2,2.48,2.18,2.93,3.93,7.68,0.0,67.2,590.28,49.55
Month,Student,All,02/01/23,5.13,5.57,4.7,2.93,4.6,1.42,2.5,1.8,2.2,2.45,1.58,0.95,1.1,1.05,0.98,1.53,1.25,1.92,1.92,1.65,0.0,86.95,372.07,47.23
Month,Student,All,01/01/23,1.48,0.37,0.22,1.7,0.52,1.08,0.5,0.35,0.6,0.65,0.43,0.53,0.17,0.1,0.48,0.42,0.15,0.13,0.35,0.08,0.0,21.08,78.87,10.32
Month,Student,All,12/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,All,11/01/22,3.7,2.0,1.32,0.97,0.98,2.0,0.45,0.18,0.25,0.17,0.32,0.42,0.4,0.9,0.82,0.95,1.62,2.18,6.83,4.83,0.0,32.8,387.98,31.28
Month,Student,All,10/01/22,4.2,2.98,1.65,1.38,1.68,1.7,0.9,0.63,0.27,0.52,0.38,0.5,0.73,0.95,1.22,0.9,1.05,2.22,2.25,2.7,0.0,37.78,278.4,28.82
Month,Student,All,09/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0
Month,Teacher,Active,03/01/23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.2,0.02,0.02
Month,Teacher,Active,02/01/23,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.95,0.67,0.67
Month,Teacher,Active,01/01/23,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.08,0.57,0.57
Month,Teacher,Active,12/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Teacher,Active,11/01/22,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,5.15,5.15
Month,Teacher,Active,10/01/22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.78,0.03,0.03
