Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,03/01/23,0.17,0.35,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.52,2.22,0.97
Month,Student,Active,02/01/23,0.2,1.33,1.35,0.95,0.83,0.12,0.05,0.13,0.02,0.12,0.35,0.08,0.0,0.05,0.22,0.0,0.0,0.0,0.0,0.0,0.0,13.67,27.12,5.8
Month,Student,Active,01/01/23,1.02,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.55,2.78,1.9
Month,Student,Active,12/01/22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,0.03,0.03
Month,Student,Active,11/01/22,4.78,4.05,2.32,2.58,0.72,0.38,0.63,0.75,0.35,0.75,1.17,0.57,0.15,0.08,0.18,0.7,0.03,0.0,0.0,0.0,0.0,37.77,94.4,20.2
Month,Student,Active,10/01/22,4.3,6.83,6.77,6.93,4.18,5.28,3.58,3.2,3.72,2.57,2.75,3.57,1.17,1.92,4.35,2.5,1.0,0.0,0.0,0.0,0.0,86.45,465.72,64.62
Month,Student,Active,09/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Month,Student,All,03/01/23,0.18,0.32,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.52,2.27,0.98
Month,Student,All,02/01/23,0.17,0.2,1.1,2.37,0.8,0.12,0.08,0.13,0.02,0.15,0.37,0.07,0.0,0.03,0.02,0.27,0.0,0.0,0.0,0.0,0.0,13.67,31.15,5.88
Month,Student,All,01/01/23,0.98,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.55,2.82,1.9
Month,Student,All,12/01/22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,0.03,0.03
Month,Student,All,11/01/22,10.05,5.38,3.03,2.03,1.27,0.5,0.38,0.73,0.1,0.35,0.32,1.4,0.83,0.33,0.88,3.12,0.07,0.0,0.0,0.0,0.0,37.77,160.37,30.78
Month,Student,All,10/01/22,2.68,6.75,7.1,6.68,3.53,3.68,3.88,2.83,2.88,2.32,2.07,2.0,4.0,0.83,0.63,1.7,6.2,7.28,0.0,0.0,0.0,86.45,586.55,67.07
Month,Student,All,09/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Month,Teacher,Active,03/01/23,9.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.52,9.72,9.72
Month,Teacher,Active,02/01/23,6.35,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.67,7.52,6.93
Month,Teacher,Active,01/01/23,21.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.55,21.65,21.65
Month,Teacher,Active,12/01/22,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,2.15,2.15
Month,Teacher,Active,11/01/22,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.77,1.07,1.07
Month,Teacher,Active,10/01/22,16.18,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.45,16.25,16.22
Month,Teacher,Active,09/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Month,Teacher,All,03/01/23,13.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.52,13.62,13.62
Month,Teacher,All,02/01/23,6.35,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.67,7.52,6.93
Month,Teacher,All,01/01/23,25.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.55,25.38,25.38
Month,Teacher,All,12/01/22,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,2.32,2.32
Month,Teacher,All,11/01/22,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.77,1.07,1.07
Month,Teacher,All,10/01/22,17.88,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.45,17.95,17.92
Month,Teacher,All,09/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Week,Student,Active,03/20/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0
Week,Student,Active,03/13/23,0.12,0.35,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,2.17,0.92
Week,Student,Active,03/06/23,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,0.05,0.05
